population,genotype,individual,uniq_gen,ldmc_av,sla_av,rdmc,root_diam,srl,C_N_ratio
NACHIK,1,2,NACHIK-1,409.9543456,18.86166167,277.1830986,0.212224,82.64474085,19.6735
NACHIK,1,3,NACHIK-1,418.1971292,23.74626042,216.0516605,0.271615,106.8677183,23.8379
NACHIK,1,4,NACHIK-1,395.6035634,21.83074489,206.5054835,0.309087,69.50993028,23.5311
NACHIK,1,5,NACHIK-1,401.8748006,21.09640649,226.5919564,0.238677,84.99954117,20.8783
NACHIK,1,6,NACHIK-1,413.1138343,23.6447044,151.4158245,0.329559,71.50141092,20.4952
NACHIK,3,1,NACHIK-3,432.7727273,18.98120297,209.0152938,0.238938,89.51913267,21.3559
NACHIK,3,2,NACHIK-3,448.6209869,23.4896474,151.3231756,NA,NA,30.0889
NACHIK,3,3,NACHIK-3,461.0770288,23.91796393,185.8932434,0.235125,125.0063771,15.283
NACHIK,3,4,NACHIK-3,520.8722581,22.77487141,196.2025316,0.224638,124.9617,19.7604
NACHIK,3,5,NACHIK-3,394.1190174,27.59865926,174.28555,0.255368,138.1298523,19.182
NACHIK,3,6,NACHIK-3,384.1357143,28.33999788,155.1465064,0.256611,135.2859208,17.819
NACHIK,3,7,NACHIK-3,408.9490527,21.44516904,147.1915747,0.225456,150.3717248,18.0405
NACHIK,3,8,NACHIK-3,535.2539417,25.56788847,182.0456218,0.243979,108.5834464,20.1145
NACHIK,8,1,NACHIK-8,332.0807837,23.08433497,272.3088924,0.198289,107.6291634,19.2832
NACHIK,8,2,NACHIK-8,439.8393116,30.63169355,134.7712255,0.231971,167.2801277,19.8336
NACHIK,8,3,NACHIK-8,453.555388,23.13999705,186.2210921,0.219902,129.1487724,16.9515
NACHIK,8,4,NACHIK-8,532.0568897,19.88687295,180.5317324,0.226344,122.8091157,21.5128
NACHIK,8,5,NACHIK-8,437.7180669,23.94954885,183.7299035,NA,NA,18.9793
NACHIK,8,6,NACHIK-8,538.5089947,20.10875364,164.881993,0.259489,109.8045614,19.4964
NACHIK,10,1,NACHIK-10,398.9147509,18.51000591,227.2576636,0.23549,106.5857948,20.9952
NACHIK,10,2,NACHIK-10,454.0432624,19.6226538,149.5253165,0.310875,70.46556203,21.1909
NACHIK,10,3,NACHIK-10,418.4743939,22.38200449,177.3796193,0.329572,67.376074,21.7327
NACHIK,10,4,NACHIK-10,396.7480421,21.791773,156.7085714,0.279743,79.91458824,18.7412
NACHIK,10,5,NACHIK-10,439.5625269,20.64631528,123.417449,0.29677,121.8551626,19.1183
NACHIK,15,1,NACHIK-15,415.1792547,18.77452156,138.4401114,0.215455,153.7192693,17.1258
NACHIK,15,2,NACHIK-15,398.078594,35.63537337,167.631452,0.216091,187.8138852,17.3305
NACHIK,15,3,NACHIK-15,417.3917449,22.41324929,161.8056972,0.220236,139.6560443,13.9512
NACHIK,15,4,NACHIK-15,431.1684324,21.17928161,177.8598972,0.268388,92.53431543,19.2458
NACHIK,15,5,NACHIK-15,434.1874803,20.05764343,169.1234387,0.235584,153.3934671,19.5404
NACHIK,15,6,NACHIK-15,501.001478,20.03207673,188.0712626,0.23842,105.8168564,17.0364
NACHIK,17,1,NACHIK-17,317.2534948,23.33880506,243.1144683,0.225452,90.01959147,20.4797
NACHIK,17,2,NACHIK-17,298.2344685,NA,164.1176471,0.241056,108.7762594,18.8569
NACHIK,17,3,NACHIK-17,379.7627843,NA,157.5737038,0.260036,101.5155172,17.8553
NACHIK,17,4,NACHIK-17,379.7384056,NA,177.4774775,0.259785,93.57308678,18.3573
NACHIK,17,5,NACHIK-17,394.7486248,23.44270197,198.152061,NA,NA,17.77
NACHIK,17,5,NACHIK-17,394.7486248,23.44270197,198.152061,NA,NA,19.7583
NACHIK,17,6,NACHIK-17,389.9154923,21.98735188,139.6619497,0.273477,116.6324979,17.1244
NACHIK,17,7,NACHIK-17,368.3909155,27.59968448,180.5688041,0.275361,73.35924903,20.0722
NACHIK,17,8,NACHIK-17,338.4570707,24.76870681,170.880305,0.236698,105.2064719,16.8879
NACHIK,17,9,NACHIK-17,392.7564013,20.69237456,196.6811335,0.24813,83.68982392,18.0959
DRUMLIN,11,1,DRUMLIN-11,454.7262372,22.0404823,173.357016,0.218151,154.8458484,21.2051
DRUMLIN,11,2,DRUMLIN-11,509.1772447,19.19413274,157.0458404,0.256009,133.9152991,16.8689
DRUMLIN,11,3,DRUMLIN-11,362.5628307,26.91636685,185.2348993,0.232838,127.1809541,17.1669
DRUMLIN,11,4,DRUMLIN-11,576.8349995,20.34129035,212.4943,0.244297,112.6395464,20.8028
DRUMLIN,11,5,DRUMLIN-11,472.484127,22.34392948,191.826087,0.233335,135.9481173,20.8005
DRUMLIN,12,1,DRUMLIN-12,387.1412291,27.09927831,201.8018018,0.18965,174.1171249,19.2018
DRUMLIN,12,2,DRUMLIN-12,668.0543556,23.45789691,146.9814355,0.193659,216.9720816,15.2757
DRUMLIN,12,3,DRUMLIN-12,392.3214573,24.7184795,143.7623762,0.215132,173.9060598,16.0783
DRUMLIN,12,4,DRUMLIN-12,473.633411,22.73984568,123.5122983,0.222699,201.976709,19.4334
DRUMLIN,12,5,DRUMLIN-12,406.4113454,19.40314398,144.2495127,0.232287,165.5238461,16.726
